source,target,peso
@NeuzaRodrigues-f9n6k,@LegftGrett,1
@LegftGrett,@LegftGrett,1
@NeuzaRodrigues-f9n6k,@setearcano,1
@rafaelawuu,@setearcano,1
@murilogarcia6924,@milaantunes2382,1
@Joynicekk,@juniorfernandoSk8,2
@angeldevoss,@juniorfernandoSk8,1
@adrianvantasset8081,@juniorfernandoSk8,1
@pouRTX,@juniorfernandoSk8,1
@NeuzaRodrigues-f9n6k,@Jiu-jitsuMetanoia,1
@josyfonseca3593,@KauanyDarosa-y9p,1
@FiftitAlex,@KauanyDarosa-y9p,1
@angeldevoss,@KauanyDarosa-y9p,1
@NeuzaRodrigues-f9n6k,@KauanyDarosa-y9p,1
@adrianvantasset8081,@alinealves8835,1
@NeuzaRodrigues-f9n6k,@kahcardoso03,1
@angelicacatarina4472,@kahcardoso03,2
@angelicacatarina4472,@StellaPereiraCândido,1
@GeoHell01,@gilzobalbinoJunior,1
@angeldevoss,@gilzobalbinoJunior,1
@inotdanielrienzo__,@GuilhermeEsteves-o6x,1
@ernestocruz238,@ThiagoAgenor-dw6sm,1
@inotdanielrienzo__,@ThiagoAgenor-dw6sm,1
@angeldevoss,@ThiagoAgenor-dw6sm,1
@ivi8060,@JOAOVICTORCONCEICAODEBORBA,1
@LeicesterForest-kd9sg,@JOAOVICTORCONCEICAODEBORBA,1
@sbeveuh6166,@JOAOVICTORCONCEICAODEBORBA,1
@inotdanielrienzo__,@JOAOVICTORCONCEICAODEBORBA,1
@angeldevoss,@JOAOVICTORCONCEICAODEBORBA,1
@wewee666,@Medicioner,1
@adrianvantasset8081,@FrancielecruzFS,1
@sigrun1005,@Hungrygirlouesfomeada,1
@Hungrygirlouesfomeada,@Hungrygirlouesfomeada,1
@gamer25gm33,@armandojalves,1
@Herk2469,@armandojalves,1
@capivarastudiosofficial9851,@CronistadoInvisível,2
@Felipe69140,@CronistadoInvisível,1
@DinivaldaNascimento,@DinivaldaNascimento,1
@TarecoAlexandreMorcegoVoador,@DragonCityColeção,1
@DragonCityColeção,@DragonCityColeção,3
@adrianvantasset8081,@DragonCityColeção,1
@molequin_femboy,@DragonCityColeção,1
@adrianvantasset8081,@jadirmoraes5314,2
@adrianvantasset8081,@EniLuz-x7n,1
@angeldevoss,@EniLuz-x7n,1
@lixovideos69,@JoaoPaulo-j2k7g,1
@angeldevoss,@JoaoPaulo-j2k7g,1
@BarraEwerton,@erikkmateus,1
@vetusdoctrina80,@santinomorassuti1650,1
@adrianvantasset8081,@santinomorassuti1650,1
@angeldevoss,@santinomorassuti1650,1
@mangaverde015,@sabrinamontenegrosoares2489,1
@alessaff6669,@feliperamosdasilva8860,1
@adrianvantasset8081,@LaviniaRodrigues-x8p,1
@Kuroshovskivarovikisywi,@hppavilionhppavilionhppavi-n5q,1
@selfccest,@hppavilionhppavilionhppavi-n5q,1
@ichigoat-k3r,@MatheusSantos-h6u4w,1
@Kuroshovskivarovikisywi,@MatheusSantos-h6u4w,1
@BabidiCharmoso,@MatheusSantos-h6u4w,1
@elmasterplus_3086,@fernandomendes6126,1
@pplutoblox,@fernandomendes6126,1
@nijordy882,@Minaj_ricca-lds,1
@Abel-tt3mc,@Minaj_ricca-lds,1
@adrianvantasset8081,@Minaj_ricca-lds,1
@PatyCruz.,@Minaj_ricca-lds,1
@Crentebahiano,@SussuPlay,1
@nijordy882,@SussuPlay,1
@BabidiCharmoso,@SussuPlay,1
@BabidiCharmoso,@ShdjDjdj-hj3cd,1
@Romulo1259,@moises5373,1
@BabidiCharmoso,@AntonioHenriqueMadonaMadona,1
@Edoaleatorio,@RachelKelki,2
@angelicacatarina4472,@RachelKelki,2
@MariaDelima-o6q,@alesilvasantos1023,1
@MariaDelima-o6q,@IgorAziel,1
@sleepymimi707,@8492nd,1
@vetusdoctrina80,@ADECILDAVINLIMA,1
@BabidiCharmoso,@ADECILDAVINLIMA,1
@lol123-e8s,@christiancosta6198,1
@BabidiCharmoso,@christiancosta6198,1
@christiancosta6198,@christiancosta6198,1
@lol123-e8s,@SofiaMazzi,1
@nijordy882,@SofiaMazzi,1
@MariaDelima-o6q,@SofiaMazzi,1
@BabidiCharmoso,@SofiaMazzi,1
@Lordmydove,@leonardocigolini8180,1
@adrianvantasset8081,@nomeiodanoiteeuacordei,1
@lol123-e8s,@DaviHenry-up2xz,1
@BabidiCharmoso,@DaviHenry-up2xz,1
@VCSDS,@gabrielbastosalvim8297,1
@luigiiradovermelho8823,@gabrielbastosalvim8297,1
@juliocesarrodriguezrodrigu4394,@diurcelycarol6965,1
@adrianvantasset8081,@diurcelycarol6965,2
@lol123-e8s,@eliasferreira9119,1
@exemplo-j9g,@eliasferreira9119,1
@eliasferreira9119,@eliasferreira9119,1
@BabidiCharmoso,@eliasferreira9119,1
@exemplo-j9g,@natanaelaugustorodriguessa7366,1
@BabidiCharmoso,@natanaelaugustorodriguessa7366,1
@exemplo-j9g,@FranciscoPereiraMouraAlexim,1
@BabidiCharmoso,@FranciscoPereiraMouraAlexim,1
@exemplo-j9g,@elianedefatimaoliveira8043,1
@adrianvantasset8081,@diva_k-pop,1
@artz1317,@maxalves3448,1
@MiguelGomesdosSantos-hw8uc,@SrD4v1D,1
@BabidiCharmoso,@SrD4v1D,1
