id,total_comments,total_replies_received
@nerdolatriste4,0,0
@pedrohenriquedreamleagueso929,1,1
@LeeAnimado,1,0
@juana973,1,0
@AnnaLucia68,11,0
@JosuéJoséLamim,1,1
@DudD-c2t,1,0
@plus_zuko,5,0
@janainagonzagadeoliveira7711,3,0
@sunshinerlr,1,2
@JoãoPaulo-b7z3y,0,0
@pry_S2,1,0
@jessicacristine7811,1,2
@icaique123,1,1
@Bakura887,0,0
@DaviiiLucca-b1e,1,0
@tom-filho46,1,0
@ChyckoDante57486,2,0
@jackmedrado9643,1,0
@BrunodePaula-mx9hf,1,0
@H7wil,1,0
@YasminSouza-u2r,1,4
@Pedro_017,0,0
@Lari-o3e,1,0
@Wmxhed,1,0
@CarlosHenriqueDeSouzaFre-hv9ss,1,0
@DaviLucasjogador-i7o,1,0
@MESTREDENUNCIADOROFFICIAL,1,0
@AlawiEnawene-hr8po,1,0
@AnthonyAraujo-lg3nq,1,0
@constanzaszkuhra6383,1,0
@taynanvalerio1677,3,2
@cleytoum388,0,0
@DaviSpideyk2,0,0
@PedrinhoDuarte-d6x,1,0
@AnakeltynOliveiradepaiva,1,0
@Arohi-c4n,1,0
@fernanda_michaleski,1,0
@valescasilvaalves6196,1,0
@samaramelo4369,1,0
@IvaneteMendes-fg1sz,1,1
@JamileSouzadaSilva-t4t2r,1,0
@isabellymartinsdamazio7347,2,0
@astro-bolt,1,0
@apropr4aofc_886,1,0
@Caminhosdafe-k7j,1,0
@Wakajãjãs,1,0
@denisebarbosa5567,1,0
@AlanaSantos-g5p,1,0
@CarlosGama-l6e,2,0
@rss-rodrigosilveriodasilva7377,1,0
@RickCampos-v8k,1,0
@Jhemilly_Larissa,1,0
@TatianiAlves-z7q,1,0
@margaridarodriguesdossanto5214,1,0
@SaydienisisART,1,0
@crisrpumesp,1,0
@BatataAzul2,1,0
@superguitar6355,1,0
@GustavoLucas-d8e,1,0
@belaisa9667,3,0
@LuizGustavo-m2o,1,2
@KAUAN_GAMER_ROBLOX,1,0
@f1gueir3do,0,0
@vadersonsouza-r1n,2,0
@KelvesJose-o6c,1,0
@fabianaperdigao9033,1,0
@miguel_x1453,1,1
@patricialouzza114,1,0
@raquelmorenodasilva9880,1,0
@RaulSantos-y9h9d,1,0
@EndereçoMental,1,0
@marciafamiliamarques,1,0
@Dkaos94,1,0
@ValdinalvaRibeiro,1,0
@NagelaDossantos,3,1
@fabianeferreira4721,1,0
@sandracandeias9262,1,0
@karllaacosta5247,1,0
@AlexanderCinecabine,1,0
@Divertidamentemente,1,0
@MUNDODAMARIEOSBESTS,1,0
@TioDoShort,1,0
@shellypinto-fofa,1,1
@MiguelMouraLopes456,1,3
@miguel8_06,0,0
@user-suairma,0,0
@Brendaa01a,1,0
@BibleVibes777,1,0
@DarkPlays22,1,0
@kellycristianedemeirelesol3909,1,0
@KrysVasconcelos,1,0
@samuelnascimento9708,1,0
@wiliamsantana1462,1,0
@Satuuss,1,0
@sueldebarreto857,1,3
@RodrigoMoreira-td7oj,3,1
@gustavosants9719,0,0
@Soldier-ei2ju,0,0
@Limozineh,1,0
@leagomes6760,1,0
@MaikeDasilva,3,2
@Tubekkj,0,0
@mistereni,0,0
@carolinerodriguesdesousa-w8m3c,1,1
@Sweet_brigadeiro,1,0
@grazielledb5092,1,0
@Sigma-y9y5b,1,0
@sasukex_skyz,1,0
@PedroZayon-x8v,1,0
@subwaysurfersbrasill,1,0
@LuzianeFerreira-z5r,1,0
@lumaalaska,1,0
@Mig_12344,1,0
@JoseGaiaramires-x5j,1,0
@halphdinizpenteado5400,1,0
@Luh-desperta,1,0
@GabrielMaldonado-ws3fk,1,0
@Crow-1v5,1,0
@CristianodeJesusSousa,1,0
@Warrior_AP,1,0
@veramartinski5981,2,0
@EllenradhadassaAbreu,1,0
@ednasantana5011,1,0
@suelidejesussantos-tn2lo,1,0
@AndreaOkudaira,1,0
@Elipearaujo94k,2,0
@franciscobrito284,1,0
@goncalopegado9821,1,0
@AfonsoRego-g8j,2,1
@nellygabrielle192,1,0
@LeonardoJanuario-Petri,1,0
@mattiagavrilita9939,1,1
@DG-ig1rb,0,0
@susanasantos2526,1,1
@DulSorrentino,1,0
@foxninja2357,1,0
@AldaWolf-m1n,1,0
